n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
3,1,gamma::L2M::NoTable,read_buff,0.936958,3.3040500909090906,1.9033078371240137,2.208607,2.998684,3.033079
3,1,gamma::L2M::NoTable,read_unbuff,0.936958,5.8423396363636355,1.9212825115110623,5.24619,5.264762,5.279381
3,1,gamma::L2M::Table,read_buff,0.937537,3.377622545454545,0.10894020836987932,3.282981,3.332446,3.484038
3,1,gamma::L2M::Table,read_unbuff,0.937537,4.54400209090909,0.01761345570553706,4.528216,4.546139,4.559329
3,1,zeta3::M2L::NoTable,read_buff,0.17902,7.294255454545454,0.05679716922763605,7.242729,7.286519,7.337159
3,1,zeta3::M2L::NoTable,read_unbuff,0.17902,9.423357818181819,1.9270402398677005,8.828475,8.849391,8.854519
3,1,zeta3::M2L::Table,read_buff,0.178547,7.493170909090909,1.8605493430799116,6.913641,6.937891,6.952177
3,1,zeta3::M2L::Table,read_unbuff,0.178547,9.197016454545455,0.05117393180783303,9.153874,9.187681,9.21933
3,1,zeta3::L2M::NoTable,read_buff,0.17944,8.412678,2.4744897090837132,7.2412,7.333118,7.373394
3,1,zeta3::L2M::NoTable,read_unbuff,0.17944,8.320410636363636,0.023132158136553893,8.303673,8.317439,8.326893
3,1,zeta3::L2M::Table,read_buff,0.178304,7.095193909090909,0.03864086953849398,7.060034,7.084755,7.115273
3,1,zeta3::L2M::Table,read_unbuff,0.178304,8.609726727272728,0.02974395818343888,8.59056,8.607624,8.615213
3,1,delta::M2L::Table,read_buff,0.392515,5.950994272727272,1.8428336402503125,5.367711,5.391766,5.416167
3,1,delta::M2L::Table,read_unbuff,0.392515,7.923482272727273,0.026621756700454382,7.91827,7.927354,7.93079
3,1,delta::M2L::NoTable,read_buff,0.392624,5.158923636363636,1.8509934088710998,4.576706,4.602402,4.625263
3,1,delta::M2L::NoTable,read_unbuff,0.392624,7.669023818181818,0.01905358995999539,7.648242,7.67136,7.676422
3,1,delta::L2M::Table,read_buff,0.391225,5.050388363636364,0.035992277841983646,5.029854,5.042016,5.051721
3,1,delta::L2M::Table,read_unbuff,0.391225,7.793849363636364,1.8516954137793438,7.197582,7.231023,7.268644
3,1,delta::L2M::NoTable,read_buff,0.392091,3.9120689090909093,0.0430449447146922,3.880367,3.906965,3.935971
3,1,delta::L2M::NoTable,read_unbuff,0.392091,6.984698545454546,0.05115167150223677,6.953548,6.972788,7.006105
3,1,delta_gamma::M2L::Table,read_buff,0.393278,7.982659909090908,1.8113094807702774,7.355624,7.420396,7.535841
3,1,delta_gamma::M2L::Table,read_unbuff,0.393278,10.756795181818182,1.9091424930691694,10.098069,10.207719,10.225978
3,1,delta_gamma::M2L::NoTable,read_buff,0.392887,7.668670090909091,1.7854366357627738,7.03277,7.134447,7.19097
3,1,delta_gamma::M2L::NoTable,read_unbuff,0.392887,11.172718363636363,0.10060242391440928,11.095653,11.160706,11.186818
3,1,delta_gamma::L2M::Table,read_buff,0.392559,7.902546818181818,1.967208776373968,7.206694,7.28565,7.371326
3,1,delta_gamma::L2M::Table,read_unbuff,0.392559,9.216829909090908,0.018283058143836503,9.201501,9.215276,9.220682
3,1,delta_gamma::L2M::NoTable,read_buff,0.392715,7.064358181818182,0.15974350354228378,6.946419,7.07612,7.142107
3,1,delta_gamma::L2M::NoTable,read_unbuff,0.392715,10.698911909090908,2.520190594011114,9.55235,9.568094,9.589828
3,2,unary::M2L::NoTable,read_buff,0.875144,1.629446818181818,0.01508360611271841,1.615814,1.628428,1.638225
3,2,unary::M2L::NoTable,read_unbuff,0.875144,3.988160272727273,1.8406742147494266,3.433465,3.433713,3.433979
3,2,unary::M2L::Table,read_buff,0.874321,2.7859749090909087,0.0036422684814425323,2.782341,2.785443,2.788785
3,2,unary::M2L::Table,read_unbuff,0.874321,5.332263,1.922798400196079,4.741342,4.750338,4.761531
3,2,unary::L2M::NoTable,read_buff,0.875025,1.6230915454545456,0.01683670934217038,1.608785,1.61902,1.632877
3,2,unary::L2M::NoTable,read_unbuff,0.875025,2.9903983636363636,0.0033806569856383306,2.987845,2.990458,2.990529
3,2,unary::L2M::Table,read_buff,0.874715,3.0635091818181817,1.916650526648028,2.476654,2.477598,2.479682
3,2,unary::L2M::Table,read_unbuff,0.874715,4.289045818181818,0.01181046490886939,4.279978,4.28884,4.297537
3,2,gamma::M2L::NoTable,read_buff,0.937485,2.962366545454545,1.944671056338802,2.363179,2.372731,2.384729
3,2,gamma::M2L::NoTable,read_unbuff,0.937485,6.383998090909091,1.834377949835336,5.819002,5.832035,5.837732
3,2,gamma::M2L::Table,read_buff,0.937612,3.223926909090909,0.06315147112847734,3.18631,3.198026,3.231013
3,2,gamma::M2L::Table,read_unbuff,0.937612,5.239097636363637,0.055780422033671874,5.20416,5.238826,5.253754
3,2,gamma::L2M::NoTable,read_buff,0.937517,2.125031090909091,0.03318783147316059,2.12369,2.127544,2.130982
3,2,gamma::L2M::NoTable,read_unbuff,0.937517,5.872366,1.8389125796054038,5.30807,5.320137,5.326575
3,2,gamma::L2M::Table,read_buff,0.937472,3.4514710000000006,0.13773464282452677,3.353153,3.409962,3.427363
3,2,gamma::L2M::Table,read_unbuff,0.937472,5.312688636363636,1.923542281680664,4.689603,4.703597,4.720091
3,2,zeta3::M2L::NoTable,read_buff,0.178831,7.305805090909091,0.03313087831149231,7.288712,7.320988,7.325101
3,2,zeta3::M2L::NoTable,read_unbuff,0.178831,9.42036309090909,1.856795506798875,8.839961,8.861646,8.875731
3,2,zeta3::M2L::Table,read_buff,0.178823,8.090294545454546,2.494926706911342,6.956308,6.968241,6.986694
3,2,zeta3::M2L::Table,read_unbuff,0.178823,9.177940909090907,0.032853975267703735,9.161355,9.169825,9.179221
3,2,zeta3::L2M::NoTable,read_buff,0.178503,7.1347913636363645,0.060509119577585424,7.08574,7.15689,7.168666
3,2,zeta3::L2M::NoTable,read_unbuff,0.178503,8.59144890909091,0.051996946528531,8.561011,8.570441,8.611996
3,2,zeta3::L2M::Table,read_buff,0.178552,7.111071727272726,0.030931205951565996,7.09141,7.102283,7.136635
3,2,zeta3::L2M::Table,read_unbuff,0.178552,8.46294672727273,0.034162360761782334,8.439315,8.447677,8.47867
3,2,delta::M2L::Table,read_buff,0.39228,6.047579545454546,1.8225433142990795,5.454321,5.474465,5.552243
3,2,delta::M2L::Table,read_unbuff,0.39228,8.52098590909091,1.8217408048828714,7.895277,7.920867,8.102103
3,2,delta::M2L::NoTable,read_buff,0.392755,4.546745181818182,0.06148365829847536,4.497613,4.543734,4.558033
3,2,delta::M2L::NoTable,read_unbuff,0.392755,8.172286363636363,1.917367039652777,7.562799,7.578853,7.615552
3,2,delta::L2M::Table,read_buff,0.391935,5.454085090909092,1.9399492273554715,4.856963,4.873622,4.879396
3,2,delta::L2M::Table,read_unbuff,0.391935,7.207941636363636,0.03197200712896435,7.183465,7.208181,7.214515
3,2,delta::L2M::NoTable,read_buff,0.392899,3.883431,0.029404244952047298,3.860431,3.882096,3.892375
3,2,delta::L2M::NoTable,read_unbuff,0.392899,7.592156454545455,1.9376173268620078,6.996139,7.009664,7.042768
3,2,delta_gamma::M2L::Table,read_buff,0.392394,7.500615909090909,0.1353508139321331,7.397022,7.454521,7.549643
3,2,delta_gamma::M2L::Table,read_unbuff,0.392394,10.719161181818182,1.9108515880659502,10.102633,10.152809,10.196741
